AliveRabbitNum,SafeRabbitNum,AvgRabbitHp,AliveFoxNum,AvgFoxHp
71,10,61.375,10,34.4
65,9,44.5,11,20.2
59,2,57.875,9,18.6
64,10,59.5,5,17.5
68,2,64,6,14.55
61,5,51.375,11,22.3
67,9,55.875,7,15.8
65,12,47.75,13,26.15
61,5,52.625,10,31.85
60,4,48.75,12,31.95
66,12,52.125,10,24.2
65,5,59.5,8,29.2
62,1,57.375,11,29.35
70,0,71,6,22.35
133,5,68.4375,8,12.725
80,3,61.9,8,29.2
87,11,56.1,14,47.2
84,9,59.7,10,38.75
86,8,62.2,12,46.05
83,11,56.4,10,42.5
83,4,65.1,10,41.3
79,8,54.3,14,59.2
74,6,53.2,11,38.2
82,5,57.5,10,36.65
79,17,55.1,13,50.75
85,3,70.9,10,41.15
83,10,62.8,11,48.85
80,5,57.2,14,49
84,3,61.9,10,31.1
80,4,60.1,12,43.2
79,4,60.1,8,35.05
76,4,52.3,15,57.45
73,3,49.1,15,56.1
79,3,54.9,12,51.6
82,7,61.9,10,39.8
80,8,55.2,14,49.6
80,10,58.3,13,46.4
80,8,57.3,14,45.55
81,7,56.8,11,42.85
84,3,64.1,8,27.25
86,5,63.9,10,38.15
83,4,64.2,12,54.45
74,7,50.2,14,57.25
78,2,61.3,9,39
89,4,62.5,8,17.8
85,8,59.7,11,47.5
83,3,71,5,17.05
77,9,54.2,13,56.75
79,17,49,12,50.55
89,5,72.5,5,19.45
82,2,66.3,7,27.5
77,6,53.2,15,59.4
76,8,56.5,10,41.3
82,7,52.8,13,51.35
81,3,59.1,8,32.8
83,14,54.9,13,54.8
83,7,58.3,14,65.5
84,7,61.1,12,53.55
82,3,62,9,40.8
82,11,59.1,7,23.15
83,2,63.6,9,36.6
84,3,67.2,6,24.15
73,5,51.1,11,44.8
75,3,61.9,13,50
78,7,58.2,10,39.95
91,5,73,5,20.8
80,12,60.7,11,39.55
81,5,58.5,8,34.15
79,4,55,16,57.65
94,8,67.2,6,25.2
79,7,59.9,12,56.7
80,8,62.4,9,31.05
84,11,60.5,9,30.6
83,6,67.6,7,31.1
79,6,53.1,12,50.25
84,8,59.3,10,34.7
79,4,61.2,10,31.85
81,1,66.4,10,46.25
80,12,52.7,13,51.65
78,7,51.9,14,53.05
80,4,63.1,12,44.4
75,4,56.9,13,54.5
80,7,54.9,13,52.85
82,9,56.4,12,44.25
76,10,51.5,14,55.6
88,0,69.3,7,19.7
66,7,42.9,24,68.4
61,17,32.4,26,77.66666
66,11,36.1,24,69.7
69,16,42.6,20,53.36666
66,16,38.8,21,58.8
79,8,50,17,48.16667
65,8,39.6,22,68.03333
57,3,38.4,20,55.06667
69,6,47.6,15,42.7
62,13,33.7,22,56.23333
55,6,30.8,26,75.36667
60,8,40.2,23,64.26667
69,9,45.5,22,57.43333
63,13,38.3,26,71.16666
69,5,44.7,18,51.3
65,11,31.9,24,69.4
60,3,38.6,22,58.63334
66,12,42.4,19,50.43333
66,6,42.8,19,52.43333
69,6,44.9,23,59.96667
67,7,40,23,64.86667
67,6,45.1,21,60.5
76,3,55.9,17,45.26667
64,11,40.8,22,62.53333
71,4,55.7,17,51.96667
71,10,43.9,19,49.83333
63,9,37.5,24,65.6
60,2,37.2,27,70.1
61,6,34,23,65.86667
58,17,29.7,23,60.86666
68,7,46.3,15,44.4
65,14,38.2,27,72.9
67,4,42.1,19,54.33333
71,10,36.1,19,44.83333
61,10,40.2,21,60.5
70,14,45.8,20,57.46667
64,8,36.4,23,62.26667
56,8,30.2,23,63.86666
69,7,43.8,20,63.76667
62,5,45.5,22,69.83334
68,9,43.9,19,50.53333
69,9,45.2,22,59.93333
62,17,33.2,25,67.63333
62,15,38,22,66.33334
62,8,39,24,72
67,15,37.6,23,69.06667
58,5,37.9,21,60.3
65,10,38.6,24,72.3
60,7,37.1,24,64.9
69,11,41,20,54.86666
57,5,36,20,55.46667
65,12,42.5,18,56.3
